,class
482,5
483,0
484,4
485,3
486,7
487,8
488,9
489,1
490,0
491,6
492,9
493,6
494,5
495,4
496,6
497,7
498,2
499,4
500,7
501,5
502,6
503,0
504,0
505,9
506,1
507,5
508,0
509,3
510,0
511,1
512,9
513,1
514,2
515,7
516,4
517,3
518,6
519,7
520,1
521,3
522,8
523,9
524,8
525,7
526,8
527,6
528,4
529,4
530,4
531,7
532,4
533,0
534,1
535,2
536,4
537,8
538,0
539,4
540,2
541,0
542,6
543,9
544,7
545,0
546,4
547,6
548,6
549,8
550,0
551,9
552,4
553,0
554,8
555,8
556,6
557,0
558,8
559,8
560,0
561,9
562,5
563,1
564,4
565,0
566,0
567,0
568,4
569,9
570,4
571,0
572,9
573,6
574,4
575,7
576,3
577,1
578,4
579,0
580,4
581,5
582,6
583,9
584,9
585,5
586,7
587,8
588,4
589,4
590,9
591,4
592,3
593,2
594,7
595,5
596,2
597,0
598,0
599,9
600,8
601,1
602,5
603,8
604,4
605,3
606,1
607,8
608,2
609,3
610,4
611,6
612,5
613,5
614,5
615,0
616,2
617,1
618,6
619,1
620,9
621,2
622,7
623,4
624,6
625,2
626,4
627,5
628,2
629,7
630,3
631,7
632,3
633,8
634,6
635,1
636,9
637,7
638,9
639,4
640,0
641,9
642,0
643,6
644,3
645,3
646,0
647,7
648,6
649,7
650,0
651,2
652,7
653,4
654,2
655,6
656,5
657,1
658,5
659,5
660,1
661,8
662,4
663,7
664,9
665,8
666,9
667,6
668,9
669,8
670,0
671,4
672,9
673,8
674,8
675,8
676,6
677,5
678,9
679,7
680,0
681,9
682,3
683,8
684,2
685,4
686,1
687,9
688,6
689,3
690,7
691,8
692,1
693,8
694,8
695,8
696,5
697,8
698,1
699,1
700,6
701,1
702,6
703,3
704,4
705,8
706,9
707,0
708,6
709,3
710,8
711,6
712,5
713,9
714,4
715,1
716,7
717,8
718,2
719,2
720,2
721,6
722,7
723,7
724,2
725,5
726,8
727,4
728,3
729,2
730,5
731,5
732,6
733,4
734,0
735,4
736,2
737,8
738,0
739,0
740,5
741,0
742,8
743,2
744,8
745,5
746,3
747,8
748,4
749,7
750,8
751,6
752,9
753,0
754,8
755,9
756,6
757,2
758,6
759,0
760,5
761,8
762,1
763,5
764,1
765,3
766,0
767,1
768,9
769,7
770,6
771,8
772,3
773,1
774,3
775,5
776,3
777,2
778,6
779,5
780,1
781,0
782,2
783,0
784,8
785,3
786,0
787,5
788,0
789,8
790,9
791,5
792,6
793,9
794,7
795,0
796,0
797,2
798,4
799,2
800,5
801,3
802,7
803,9
804,9
805,0
806,1
807,1
808,8
809,9
810,6
811,9
812,3
813,0
814,0
815,3
816,6
817,3
818,1
819,4
820,5
821,9
822,8
823,7
824,3
825,2
826,1
827,8
828,4
829,4
830,2
831,1
832,3
833,3
834,7
835,9
836,5
837,5
838,9
839,3
840,4
841,6
842,0
843,1
844,1
845,1
846,9
847,0
848,2
849,7
850,6
851,9
852,4
853,2
854,2
855,5
856,9
857,5
858,4
859,0
860,5
861,2
862,6
863,7
864,6
865,3
866,6
867,0
868,5
869,7
870,7
871,5
872,0
873,3
874,7
875,7
876,7
877,8
878,6
879,5
880,0
881,7
882,8
883,8
884,4
885,6
886,3
887,4
888,3
889,9
890,9
891,3
892,0
893,2
894,6
895,0
896,4
897,9
898,5
899,5
900,0
901,2
902,9
903,1
904,4
905,7
906,3
907,5
908,1
909,6
910,5
911,3
912,9
913,6
914,7
915,4
916,1
917,4
918,7
919,5
920,7
921,8
922,9
923,5
924,0
925,3
926,3
927,9
928,3
929,5
930,5
931,8
932,6
933,0
934,8
935,3
936,0
937,5
938,4
939,0
940,9
941,1
942,7
943,0
944,4
945,5
946,6
947,0
948,8
949,1
950,3
951,7
952,1
953,4
954,0
955,8
956,2
957,9
958,1
959,4
960,4
961,9
962,1
963,5
964,0
965,4
966,0
967,5
968,4
969,7
970,1
971,1
972,8
973,9
974,8
975,3
976,8
977,7
978,5
979,8
980,0
981,2
982,0
983,8
984,5
985,1
986,3
987,4
988,8
989,8
990,5
991,4
992,5
993,1
994,4
995,8
996,2
997,2
998,9
999,6
1000,6
1001,7
1002,5
1003,6
1004,8
1005,8
1006,5
1007,0
1008,2
1009,6
1010,0
1011,5
1012,0
1013,1
1014,4
1015,2
1016,1
1017,6
1018,1
1019,7
1020,1
1021,2
1022,0
1023,2
1024,6
1025,9
1026,8
1027,8
1028,5
1029,2
1030,9
1031,5
1032,4
1033,2
1034,9
1035,4
1036,2
1037,6
1038,5
1039,1
1040,5
1041,0
1042,7
1043,9
1044,8
1045,5
1046,5
1047,2
1048,4
1049,7
1050,1
1051,8
1052,1
1053,0
1054,0
1055,7
1056,3
1057,1
1058,8
1059,8
1060,8
1061,1
1062,0
1063,1
1064,5
1065,0
1066,2
1067,9
1068,4
1069,0
1070,1
1071,8
1072,7
1073,9
1074,2
1075,7
1076,5
1077,4
1078,5
1079,2
1080,5
1081,6
1082,5
1083,2
1084,6
1085,2
1086,8
1087,7
1088,7
1089,0
1090,4
1091,0
1092,7
1093,6
1094,5
1095,4
1096,1
1097,6
1098,4
1099,7
1100,3
1101,3
1102,5
1103,7
1104,9
1105,7
1106,0
1107,2
1108,3
1109,2
1110,9
1111,3
1112,3
1113,3
1114,8
1115,6
1116,7
1117,1
1118,5
1119,0
1120,6
1121,4
1122,4
1123,2
1124,3
1125,1
1126,1
1127,5
1128,7
1129,5
1130,5
1131,6
1132,1
1133,4
1134,3
1135,7
1136,0
1137,5
1138,3
1139,6
1140,2
1141,5
1142,5
1143,4
1144,8
1145,0
1146,6
1147,9
1148,3
1149,3
1150,4
1151,1
1152,3
1153,5
1154,2
1155,5
1156,8
1157,6
1158,7
1159,6
1160,1
1161,9
1162,7
1163,2
1164,9
1165,2
1166,9
1167,5
1168,4
1169,6
1170,4
1171,5
1172,9
1173,0
1174,9
1175,2
1176,3
1177,7
1178,6
1179,6
1180,4
1181,1
1182,4
1183,4
1184,0
1185,2
1186,0
1187,8
1188,0
1189,1
1190,3
1191,0
1192,8
1193,2
1194,3
1195,8
1196,2
1197,8
1198,5
1199,9
1200,2
1201,4
1202,4
1203,0
1204,9
1205,7
1206,9
1207,2
1208,3
1209,7
1210,6
1211,5
1212,5
1213,1
1214,3
1215,9
1216,1
1217,6
1218,8
1219,3
1220,0
1221,8
1222,7
1223,5
1224,1
1225,4
1226,9
1227,6
1228,8
1229,3
1230,3
1231,0
1232,1
1233,2
1234,2
1235,8
1236,1
1237,2
1238,5
1239,4
1240,5
1241,5
1242,4
1243,1
1244,2
1245,6
1246,3
1247,9
1248,4
1249,0
1250,1
1251,8
1252,9
1253,9
1254,4
1255,1
1256,8
1257,6
1258,6
1259,4
1260,4
1261,8
1262,3
1263,4
1264,8
1265,0
1266,3
1267,9
1268,8
1269,8
1270,7
1271,1
1272,5
1273,7
1274,7
1275,2
1276,8
1277,2
1278,8
1279,6
1280,8
1281,7
1282,7
1283,6
1284,1
1285,2
1286,2
1287,2
1288,6
1289,4
1290,9
1291,8
1292,8
1293,5
1294,5
1295,4
1296,0
1297,7
1298,2
1299,8
1300,6
1301,0
1302,1
1303,0
1304,5
1305,8
1306,0
1307,9
1308,9
1309,3
1310,3
1311,5
1312,3
1313,2
1314,4
1315,8
1316,9
1317,8
1318,9
1319,4
1320,5
1321,0
1322,0
1323,4
1324,4
1325,5
1326,0
1327,5
1328,9
1329,6
1330,1
1331,7
1332,4
1333,4
1334,2
1335,6
1336,1
1337,5
1338,5
1339,8
1340,9
1341,0
1342,2
1343,2
1344,3
1345,7
1346,3
1347,9
1348,1
1349,7
1350,6
1351,1
1352,0
1353,7
1354,9
1355,0
1356,3
1357,1
1358,8
1359,3
1360,8
1361,2
1362,9
1363,9
1364,3
1365,2
1366,4
1367,0
1368,4
1369,7
1370,2
1371,1
1372,6
1373,2
1374,8
1375,3
1376,0
1377,7
1378,8
1379,6
1380,5
1381,2
1382,2
1383,1
1384,0
1385,9
1386,1
1387,5
1388,3
1389,0
1390,1
1391,1
1392,7
1393,8
1394,2
1395,8
1396,9
1397,9
1398,5
1399,0
1400,5
1401,4
1402,6
1403,1
1404,6
1405,3
1406,8
1407,1
1408,9
1409,2
1410,6
1411,8
1412,5
1413,0
1414,6
1415,4
1416,4
1417,5
1418,3
1419,6
1420,2
1421,4
1422,4
1423,1
1424,8
1425,6
1426,5
1427,4
1428,1
1429,1
1430,0
1431,3
1432,5
1433,2
1434,5
1435,7
1436,3
1437,0
1438,4
1439,5
1440,1
1441,0
1442,3
1443,4
1444,4
1445,7
1446,2
1447,2
1448,9
1449,5
1450,2
1451,2
1452,2
1453,8
1454,2
1455,3
1456,3
1457,9
1458,9
1459,0
1460,2
1461,6
1462,6
1463,5
1464,3
1465,4
1466,2
1467,7
1468,3
1469,0
1470,0
1471,5
1472,6
1473,5
1474,3
1475,7
1476,6
1477,6
1478,4
1479,0
1480,0
1481,2
1482,5
1483,1
1484,6
1485,5
1486,9
1487,2
1488,3
1489,9
1490,7
1491,2
1492,0
1493,8
1494,0
1495,2
1496,3
1497,2
1498,5
1499,5
1500,7
1501,5
1502,5
1503,1
1504,6
1505,3
1506,1
1507,1
1508,0
1509,1
1510,7
1511,3
1512,2
1513,6
1514,3
1515,4
1516,3
1517,1
1518,4
1519,3
1520,4
1521,7
1522,0
1523,0
1524,7
1525,8
1526,2
1527,9
1528,7
1529,3
1530,6
1531,8
1532,9
1533,0
1534,6
1535,8
1536,6
1537,1
1538,7
1539,1
1540,0
1541,4
1542,6
1543,8
1544,9
1545,5
1546,0
1547,9
1548,9
1549,5
1550,9
1551,1
1552,5
1553,5
1554,8
1555,4
1556,7
1557,5
1558,4
1559,0
1560,3
1561,1
1562,3
1563,4
1564,5
1565,4
1566,2
1567,0
1568,8
1569,8
1570,6
1571,7
1572,3
1573,9
1574,9
1575,6
1576,5
1577,2
1578,3
1579,9
1580,4
1581,1
1582,9
1583,4
1584,5
1585,9
1586,8
1587,6
1588,3
1589,6
1590,8
1591,8
1592,4
1593,4
1594,4
1595,0
1596,5
1597,7
1598,6
1599,3
1600,6
1601,5
1602,7
1603,5
1604,0
1605,4
1606,1
1607,1
1608,4
1609,1
1610,5
1611,6
1612,3
1613,4
1614,4
1615,4
1616,4
1617,0
1618,3
1619,6
1620,3
1621,4
1622,9
1623,7
1624,4
1625,3
1626,2
1627,4
1628,0
1629,3
1630,3
1631,3
1632,7
1633,4
1634,3
1635,8
1636,4
1637,9
1638,7
1639,0
1640,3
1641,5
1642,6
1643,6
1644,2
1645,7
1646,8
1647,4
1648,5
1649,8
1650,4
1651,7
1652,0
1653,2
1654,8
1655,9
1656,8
1657,6
1658,7
1659,5
1660,2
1661,2
1662,6
1663,8
1664,6
1665,4
1666,8
1667,0
1668,9
1669,7
1670,5
1671,5
1672,5
1673,5
1674,6
1675,2
1676,0
1677,8
1678,9
1679,3
1680,7
1681,7
1682,6
1683,8
1684,9
1685,4
1686,7
1687,6
1688,5
1689,3
1690,1
1691,4
1692,5
1693,0
1694,9
1695,6
1696,7
1697,0
1698,3
1699,4
1700,0
1701,5
1702,7
1703,7
1704,3
1705,5
1706,8
1707,0
1708,8
1709,1
1710,9
1711,8
1712,5
1713,2
1714,7
1715,4
1716,0
1717,8
1718,2
1719,6
1720,9
1721,5
1722,9
1723,5
1724,8
1725,8
1726,4
1727,3
1728,6
1729,3
1730,7
1731,9
1732,4
1733,5
1734,4
1735,1
1736,6
1737,2
1738,9
1739,8
1740,4
1741,1
1742,4
1743,7
1744,5
1745,2
1746,2
1747,6
1748,3
1749,7
1750,7
1751,9
1752,9
1753,5
1754,4
1755,0
1756,7
1757,1
1758,0
1759,6
1760,9
1761,5
1762,8
1763,4
1764,7
1765,1
1766,8
1767,1
1768,6
1769,3
1770,9
1771,5
1772,4
1773,3
1774,8
1775,8
1776,0
1777,9
1778,2
1779,4
1780,5
1781,5
1782,4
1783,7
1784,5
1785,4
1786,1
1787,5
1788,8
1789,8
1790,0
1791,0
1792,1
1793,1
1794,6
1795,3
1796,2
1797,9
1798,0
1799,0
1800,5
1801,4
1802,3
1803,5
1804,0
1805,3
1806,1
1807,7
1808,8
1809,3
1810,5
1811,3
1812,2
1813,1
1814,8
1815,2
1816,8
1817,0
1818,0
1819,4
1820,0
1821,1
1822,1
1823,4
1824,5
1825,5
1826,3
1827,2
1828,2
1829,7
1830,3
1831,2
1832,5
1833,2
1834,6
1835,5
1836,7
1837,6
1838,5
1839,0
1840,0
1841,4
1842,8
1843,6
1844,2
1845,9
1846,5
1847,7
1848,2
1849,4
1850,6
1851,2
1852,5
1853,2
1854,4
1855,9
1856,7
1857,0
1858,5
1859,7
1860,0
1861,3
1862,6
1863,3
1864,3
1865,0
1866,1
1867,8
1868,8
1869,1
1870,4
1871,4
1872,5
1873,3
1874,2
1875,3
1876,2
1877,6
1878,7
1879,7
1880,1
1881,6
1882,5
1883,3
1884,9
1885,2
1886,0
1887,7
1888,5
1889,2
1890,3
1891,2
1892,4
1893,0
1894,3
1895,8
1896,5
1897,5
1898,3
1899,0
1900,3
1901,0
1902,2
1903,7
1904,7
1905,2
1906,3
1907,2
1908,2
1909,2
1910,4
1911,9
1912,1
1913,0
1914,0
1915,0
1916,3
1917,0
1918,6
1919,3
1920,8
1921,3
1922,2
1923,3
1924,1
1925,5
1926,7
1927,8
1928,7
1929,6
1930,0
1931,1
1932,6
1933,8
1934,2
1935,3
1936,6
1937,6
1938,9
1939,0
1940,0
1941,2
1942,0
1943,2
1944,0
1945,1
1946,8
1947,6
1948,0
1949,9
1950,9
1951,0
1952,3
1953,1
1954,5
1955,0
1956,0
1957,4
1958,0
1959,9
1960,7
1961,6
1962,8
1963,5
1964,0
1965,6
1966,0
1967,4
1968,5
1969,1
1970,6
1971,9
1972,4
1973,5
1974,2
1975,3
1976,7
1977,1
1978,7
1979,6
1980,6
1981,5
1982,4
1983,7
1984,6
1985,6
1986,2
1987,8
1988,7
1989,1
1990,6
1991,7
1992,7
1993,2
1994,0
1995,5
1996,6
1997,5
1998,4
1999,1
2000,0
2001,9
2002,9
2003,9
2004,1
2005,3
2006,0
2007,3
2008,0
2009,6
2010,9
2011,0
2012,8
2013,4
2014,9
2015,7
2016,3
2017,6
2018,3
2019,1
2020,4
2021,0
2022,7
2023,8
2024,4
2025,8
2026,3
2027,6
2028,6
2029,5
2030,6
2031,4
2032,1
2033,1
2034,9
2035,7
2036,1
2037,6
2038,1
2039,5
2040,6
2041,5
2042,9
2043,2
2044,3
2045,8
2046,9
2047,9
2048,4
2049,0
2050,2
2051,0
2052,4
2053,3
2054,2
2055,6
2056,0
2057,0
2058,6
2059,8
2060,6
2061,3
2062,8
2063,3
2064,8
2065,6
2066,7
2067,4
2068,7
2069,4
2070,8
2071,7
2072,8
2073,4
2074,1
2075,7
2076,7
2077,9
2078,1
2079,7
2080,0
2081,0
2082,6
2083,5
2084,5
2085,1
2086,2
2087,1
2088,1
2089,7
2090,4
2091,7
2092,5
2093,5
2094,4
2095,9
2096,8
2097,0
2098,0
2099,3
2100,9
2101,3
2102,8
2103,1
2104,0
2105,4
2106,1
2107,2
2108,3
2109,8
2110,1
2111,2
2112,0
2113,2
2114,3
2115,5
2116,4
2117,2
2118,9
2119,8
2120,5
2121,4
2122,0
2123,0
2124,1
2125,5
2126,6
2127,1
2128,0
2129,2
2130,0
2131,9
2132,2
2133,8
2134,0
2135,4
2136,8
2137,5
2138,1
2139,2
2140,3
2141,4
2142,5
2143,3
2144,5
2145,5
2146,5
2147,2
2148,8
2149,8
2150,9
2151,0
2152,1
2153,0
2154,5
2155,6
2156,7
2157,7
2158,8
2159,4
2160,8
2161,8
2162,1
2163,4
2164,0
2165,6
2166,4
2167,4
2168,7
2169,3
2170,2
2171,6
2172,5
2173,7
2174,5
2175,8
2176,4
2177,7
2178,1
2179,5
2180,6
2181,9
2182,7
2183,5
2184,9
2185,0
2186,0
2187,6
2188,6
2189,1
2190,5
2191,0
2192,0
2193,0
2194,7
2195,7
2196,5
2197,2
2198,5
2199,4
2200,9
2201,1
2202,0
2203,7
2204,4
2205,2
2206,0
2207,2
2208,1
2209,7
2210,5
2211,5
2212,1
2213,0
2214,9
2215,8
2216,0
2217,9
2218,4
2219,9
2220,5
2221,0
2222,6
2223,2
2224,3
2225,0
2226,3
2227,6
2228,4
2229,3
2230,3
2231,1
2232,6
2233,5
2234,0
2235,4
2236,6
2237,2
2238,3
2239,7
2240,0
2241,0
2242,7
2243,6
2244,1
2245,6
2246,6
2247,2
2248,3
2249,7
2250,4
2251,2
2252,2
2253,8
2254,8
2255,2
2256,6
2257,3
2258,1
2259,0
2260,0
2261,5
2262,7
2263,5
2264,7
2265,6
2266,8
2267,4
2268,3
2269,0
2270,7
2271,1
2272,2
2273,9
2274,8
2275,1
2276,9
2277,2
2278,3
2279,7
2280,6
2281,5
2282,8
2283,0
2284,6
2285,6
2286,6
2287,7
2288,1
2289,3
2290,3
2291,1
2292,0
2293,8
2294,6
2295,7
2296,9
2297,1
2298,7
2299,6
2300,0
2301,2
2302,4
2303,4
2304,6
2305,5
2306,9
2307,8
2308,6
2309,8
2310,8
2311,9
2312,3
2313,4
2314,0
2315,5
2316,6
2317,1
2318,1
2319,8
2320,7
2321,6
2322,0
2323,7
2324,7
2325,5
2326,1
2327,0
2328,1
2329,1
2330,0
2331,6
2332,7
2333,2
2334,6
2335,6
2336,9
2337,6
2338,1
2339,6
2340,8
2341,7
2342,5
2343,2
2344,4
2345,9
2346,3
2347,0
2348,6
2349,5
2350,9
2351,1
2352,9
2353,9
2354,6
2355,3
2356,8
2357,0
2358,3
2359,9
2360,0
2361,0
2362,1
2363,9
2364,1
2365,1
2366,3
2367,1
2368,7
2369,8
2370,5
2371,3
2372,8
2373,5
2374,8
2375,5
2376,8
2377,9
2378,5
2379,9
2380,5
2381,1
2382,9
2383,4
2384,6
2385,0
2386,8
2387,6
2388,1
2389,7
2390,8
2391,3
2392,3
2393,1
2394,3
2395,7
2396,4
2397,1
2398,5
2399,6
2400,8
2401,8
2402,8
2403,3
2404,7
2405,0
2406,0
2407,5
2408,0
2409,0
2410,5
2411,8
2412,9
2413,7
2414,3
2415,4
2416,7
2417,3
2418,7
2419,8
2420,3
2421,0
2422,5
2423,3
2424,3
2425,9
2426,7
2427,4
2428,5
2429,7
2430,1
2431,1
2432,4
2433,0
2434,4
2435,6
2436,8
2437,4
2438,0
2439,8
2440,2
2441,3
2442,3
2443,5
2444,7
2445,1
2446,3
2447,4
2448,1
2449,3
2450,1
2451,7
2452,3
2453,8
2454,6
2455,1
2456,6
2457,1
2458,1
2459,5
2460,7
2461,3
2462,5
2463,0
2464,0
2465,4
2466,0
2467,3
2468,2
2469,3
2470,6
2471,2
2472,0
2473,7
2474,4
2475,9
2476,1
2477,6
2478,4
2479,0
2480,0
2481,6
2482,4
2483,3
2484,1
2485,8
2486,0
2487,8
2488,6
2489,4
2490,9
2491,1
2492,5
2493,4
2494,4
2495,9
2496,3
2497,7
2498,1
2499,9
2500,9
2501,4
2502,8
2503,2
2504,4
2505,7
2506,3
2507,1
2508,1
2509,9
2510,8
2511,6
2512,5
2513,3
2514,3
2515,6
2516,8
2517,3
2518,4
2519,8
2520,1
2521,8
2522,7
2523,9
2524,7
2525,0
2526,7
2527,2
2528,9
2529,6
2530,8
2531,7
2532,2
2533,4
2534,7
2535,0
2536,1
2537,3
2538,5
2539,3
2540,4
2541,9
2542,8
2543,4
2544,5
2545,8
2546,2
2547,7
2548,9
2549,3
2550,3
2551,6
2552,0
2553,5
2554,5
2555,0
2556,0
2557,9
2558,7
2559,0
2560,8
2561,4
2562,5
2563,8
2564,6
2565,4
2566,9
2567,2
2568,1
2569,9
2570,5
2571,9
2572,5
2573,2
2574,9
2575,3
2576,3
2577,2
2578,1
2579,5
2580,9
2581,3
2582,7
2583,0
2584,7
2585,1
2586,1
2587,9
2588,9
2589,2
2590,0
2591,8
2592,2
2593,8
2594,1
2595,7
2596,3
2597,3
2598,0
2599,3
2600,0
2601,1
2602,8
2603,3
2604,4
2605,4
2606,3
2607,8
2608,4
2609,7
2610,4
2611,7
2612,1
2613,6
2614,8
2615,5
2616,0
2617,7
2618,3
2619,3
2620,4
2621,6
2622,6
2623,6
2624,8
2625,6
2626,0
2627,9
2628,5
2629,1
2630,6
2631,7
2632,4
2633,3
2634,6
2635,1
2636,8
2637,1
2638,1
2639,1
2640,7
2641,5
2642,7
2643,7
2644,8
2645,5
2646,6
2647,8
2648,8
2649,0
2650,0
2651,3
2652,0
2653,0
2654,3
2655,8
2656,0
2657,7
2658,1
2659,7
2660,3
2661,7
2662,5
2663,7
2664,9
2665,4
2666,0
2667,4
2668,7
2669,4
2670,9
2671,0
2672,8
2673,1
2674,9
2675,2
2676,1
2677,6
2678,0
2679,5
2680,3
2681,9
2682,9
2683,5
2684,3
2685,0
2686,3
2687,7
2688,6
2689,0
2690,7
2691,9
2692,0
2693,2
2694,0
2695,0
2696,9
2697,1
2698,7
2699,4
2700,7
2701,6
2702,7
2703,1
2704,8
2705,0
2706,5
2707,9
2708,0
2709,7
2710,3
2711,5
2712,4
2713,4
2714,7
2715,0
2716,0
2717,7
2718,2
2719,8
2720,4
2721,6
2722,3
2723,8
2724,7
2725,6
2726,1
2727,0
2728,4
2729,7
2730,8
2731,0
2732,5
2733,5
2734,7
2735,5
2736,9
2737,2
2738,4
2739,0
2740,5
2741,3
2742,9
2743,0
2744,4
2745,7
2746,1
2747,1
2748,6
2749,3
2750,4
2751,3
2752,9
2753,9
2754,5
2755,6
2756,2
2757,2
2758,8
2759,6
2760,7
2761,5
2762,2
2763,3
2764,8
2765,2
2766,4
2767,7
2768,1
2769,5
2770,4
2771,8
2772,9
2773,8
2774,8
2775,7
2776,5
2777,4
2778,8
2779,7
2780,2
2781,5
2782,7
2783,1
2784,6
2785,4
2786,9
2787,7
2788,1
2789,3
2790,0
2791,1
2792,0
2793,1
2794,3
2795,7
2796,8
2797,0
2798,5
2799,0
2800,5
2801,6
2802,6
2803,1
2804,4
2805,8
2806,6
2807,7
2808,6
2809,0
2810,1
2811,8
2812,1
2813,5
2814,7
2815,3
2816,7
2817,0
2818,4
2819,2
2820,5
2821,1
2822,3
2823,6
2824,4
2825,3
2826,9
2827,6
2828,2
2829,9
2830,1
2831,8
2832,8
2833,5
2834,8
2835,4
2836,9
2837,5
2838,3
2839,7
2840,1
2841,1
2842,1
2843,8
2844,9
2845,0
2846,3
2847,4
2848,1
2849,5
2850,5
2851,3
2852,1
2853,0
2854,5
2855,6
2856,2
2857,4
2858,6
2859,6
2860,4
2861,1
2862,1
2863,2
2864,6
2865,1
2866,5
2867,8
2868,3
2869,0
2870,0
2871,9
2872,0
2873,8
2874,6
2875,4
2876,2
2877,9
2878,6
2879,0
2880,8
2881,5
2882,1
2883,5
2884,3
2885,4
2886,3
2887,6
2888,6
2889,8
2890,2
2891,2
2892,3
2893,5
2894,4
2895,4
2896,2
2897,7
2898,5
2899,7
2900,3
2901,8
2902,1
2903,7
2904,8
2905,8
2906,5
2907,5
2908,4
2909,2
2910,0
2911,1
2912,1
2913,2
2914,9
2915,1
2916,2
2917,1
2918,1
2919,4
2920,2
2921,5
2922,8
2923,1
2924,4
2925,5
2926,4
2927,8
2928,3
2929,4
2930,9
2931,9
2932,8
2933,6
2934,5
2935,6
2936,0
2937,5
2938,8
2939,6
2940,3
2941,4
2942,9
2943,3
2944,6
2945,4
2946,3
2947,7
2948,9
2949,2
2950,3
2951,2
2952,6
2953,4
2954,7
2955,6
2956,5
2957,0
2958,4
2959,2
2960,9
2961,1
2962,0
2963,4
2964,4
2965,7
2966,4
2967,8
2968,2
2969,2
2970,7
2971,2
2972,3
2973,7
2974,2
2975,7
2976,3
2977,5
2978,0
2979,8
2980,3
2981,0
2982,1
2983,5
2984,1
2985,7
2986,7
2987,4
2988,0
2989,5
2990,0
2991,6
2992,4
2993,2
2994,4
2995,2
2996,3
2997,7
